Bus_name,Bus_type,Departing_time,Duration,Reaching_time,Star_rating,Price,Seat_availability
NueGo,Electric A/C Seater (2+2),21:55,07h 40m,05:35,4.2,332,4 Seats available
NueGo,Electric A/C Seater/Sleeper (2+1),21:50,07h 20m,05:10,4.1,576,2 Seats available
Go Tour Travels and Holidays,A/C Seater / Sleeper (2+1),21:50,06h 25m,04:15,4.4,891,1 Seat available
BSR Tours And Travels,VE A/C Sleeper (2+1),21:50,06h 20m,04:10,4.2,780,2 Seats available
IntrCity SmartBus,A/C Seater / Sleeper (2+1),22:40,04h 20m,03:00,4.8,INR 529,4 Seats available
IntrCity SmartBus,AC Sleeper (2+1),21:50,05h 40m,03:30,5.0,INR 819,1 Seat available
IntrCity SmartBus,A/C Seater / Sleeper (2+1),22:30,06h 05m,04:35,4.8,INR 429,10 Seats available
Nani Svkdt Travels,A/C Sleeper (2+1),22:00,06h 30m,04:30,4.0,696,6 Seats available
Go Tour Travels and Holidays,A/C Sleeper (2+1),21:50,06h 25m,04:15,4.2,711,5 Seats available
LVR Travels,Non A/C Seater / Sleeper (2+1),21:48,07h 07m,04:55,4.5,INR 399,5 Seats available
Sri KVR Travels,Non A/C Seater / Sleeper (2+1),21:50,05h 35m,03:25,4.5,INR 499,8 Seats available
BSR Tours And Travels,A/C Seater / Sleeper (2+1),21:55,04h 35m,02:30,4.7,780,9 Seats available
SAMANVI CITICONNECT,Non A/C Seater / Sleeper (2+1),21:50,04h 40m,02:30,4.6,INR 409,4 Seats available
Mythri Tours And Travels,A/C Sleeper (2+1),21:52,06h 13m,04:05,4.5,INR 719,4 Seats available
Mozo travels,A/C Sleeper (2+1),22:00,03h 10m,01:10,4.9,INR 700,2 Seats available
PRK Travels,Non A/C Seater / Sleeper (2+1),21:48,07h 37m,05:25,4.3,440,9 Seats available
Sri KVR Travels,Non A/C Seater / Sleeper (2+1),21:47,05h 48m,03:35,4.6,INR 444,2 Seats available
BSR Tours And Travels,VE A/C Sleeper (2+1),21:50,06h 30m,04:20,4.3,780,1 Seat available
Sri Sai Anjana Tours and Travels,Non A/C Seater / Sleeper (2+1),21:50,05h 55m,03:45,4.2,INR 449,7 Seats available
Jayanthi Travels,Non A/C Seater / Sleeper (2+1),21:50,06h 00m,03:50,4.2,INR 499,3 Seats available
Sri Shivanjaneya Travels,A/C Seater / Sleeper (2+1),22:00,06h 30m,04:30,4.0,455,6 Seats available
Shyamoli Paribahan Pvt Ltd,A/C Seater/Sleeper (2+1),22:30,05h 00m,03:30,4.6,604,8 Seats available
Svkdt travels,A/C Sleeper (2+1),22:00,04h 05m,02:05,4.2,INR 889,7 Seats available
Jayanthi Travels,Non A/C Seater / Sleeper (2+1),21:55,05h 05m,03:00,4.2,INR 560,9 Seats available
Jayanthi Travels,Non A/C Seater / Sleeper (2+1),22:00,05h 00m,03:00,4.2,564,2 Seats available
Sri KVR Travels,Non A/C Seater / Sleeper (2+1),22:00,04h 25m,02:25,4.1,INR 470,1 Seat available
Padma Travels,Non A/C Seater / Sleeper (2+1),21:50,06h 10m,04:00,4.0,INR 399,5 Seats available
IntrCity SmartBus,VE A/C Seater / Sleeper (2+1),21:55,04h 15m,02:10,4.7,INR 589,6 Seats available
Sri Sai Anjana Tours and Travels,Non A/C Seater / Sleeper (2+1),21:53,06h 47m,04:40,4.2,INR 470,8 Seats available
Sri Rama Travels,Non A/C Seater / Sleeper (2+1),21:46,06h 29m,04:15,4.2,INR 555,8 Seats available
Sri KVR Travels,NON A/C Sleeper (2+1),21:50,07h 25m,05:15,4.1,INR 450,9 Seats available
Orange Tours And Travels,NON A/C Seater/ Sleeper (2+1),22:00,07h 30m,05:30,3.7,INR 400,12 Seats available
LVP Travels,A/C Seater / Sleeper (2+1),21:47,06h 58m,04:45,3.7,INR 450,13 Seats available
Anjani Bus,A/C Seater / Sleeper (2+1),21:50,06h 50m,04:40,3.6,INR 439,27 Seats available
Orange Tours And Travels,NON A/C Seater/ Sleeper (2+1),21:50,06h 35m,04:25,3.9,INR 400,11 Seats available
Orange Tours And Travels,Bharat Benz A/C Sleeper (2+1),22:00,07h 45m,05:45,3.4,INR 600,14 Seats available
Morning Star Travels,A/C Sleeper (2+1),22:15,07h 05m,05:20,3.7,INR 500,11 Seats available
Sri Venkata Padmavathi Travels,Non A/C Seater / Sleeper (2+1),21:50,08h 10m,06:00,3.7,INR 450,25 Seats available
Kaveri Travels,Volvo Multi Axle A/C Sleeper I-Shift B11R (2+1),21:50,06h 15m,04:05,3.9,INR 749,12 Seats available
Orange Tours And Travels,Bharat Benz A/C Sleeper (2+1),22:00,07h 45m,05:45,3.1,INR 600,12 Seats available
Sai Srinivasa Travels,Non A/C Seater / Sleeper (2+1),22:00,06h 50m,04:50,3.6,INR 510,15 Seats available
Orange Tours And Travels,Bharat Benz A/C Sleeper (2+1),22:00,07h 15m,05:15,3.2,INR 600,13 Seats available
V Kaveri Travels,A/C Seater / Sleeper (2+1),21:50,07h 20m,05:10,3.7,INR 450,11 Seats available
Prasanna Travels,A/C Seater / Sleeper (2+1),23:10,07h 05m,06:15,3.1,INR 500,24 Seats available
Royal Varma Travels,A/C Sleeper (2+1),21:55,06h 50m,04:45,3.9,INR 700,17 Seats available
Eswar Travels,A/C Seater / Sleeper (2+1),22:10,06h 20m,04:30,3.6,INR 480,21 Seats available
Sri Sai Srinivasa Travels,Non A/C Seater / Sleeper (2+1),22:00,06h 30m,04:30,3.9,INR 500,21 Seats available
Orange Tours And Travels,NON A/C Seater/ Sleeper (2+1),22:40,05h 15m,03:55,3.4,INR 400,22 Seats available
V Kaveri Travels,Non A/C Seater / Sleeper (2+1),21:50,06h 40m,04:30,3.8,INR 500,11 Seats available
