Bus_name,Bus_type,Departing_time,Duration,Reaching_time,Star_rating,Price,Seat_availability
FlixBus,Bharat Benz A/C Seater (2+2),23:35,05h 25m,05:00,4.5,INR 625,2 Seats available
RS YADAV SMART BUS,Bharat Benz A/C Seater /Sleeper (2+1),23:10,05h 35m,04:45,4.0,INR 999,6 Seats available
